id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Laron;MacGyver;Rafael.Murphy66@hotmail.com;atop sentimentalize;2024-03-09T03:35:23;2222;31285
2;Kelley;Deckow;Kelton.Rath@gmail.com;legitimate litter;2024-03-09T10:44:59;20708;222
3;Brian;Russel;Fleta.Boehm8@hotmail.com;zealous flare;2024-03-09T03:40:39;9768;18798
4;Randal;Dare;Teresa.Denesik@hotmail.com;reproachfully accurate;2024-03-08T11:25:38;199;21461
5;Freeman;Kihn;Joshuah_Wiegand15@gmail.com;till strew;2024-03-08T17:25:49;27671;1113
6;Jaydon;Pagac;Aurelia21@gmail.com;lest revisit incise;2024-03-08T14:26:49;12721;2349
7;Jayda;Breitenberg;Nels.Heller76@yahoo.com;even fetter usurp;2024-03-09T07:36:03;5124;19725
8;Marlee;Hagenes;Reinhold_Steuber59@gmail.com;reassuringly;2024-03-08T14:59:47;30230;27657
9;Dereck;Dooley;Olaf64@gmail.com;questionably louse long;2024-03-09T06:42:29;28672;29863
10;Donna;Cummerata;Bailey25@yahoo.com;softly;2024-03-08T17:42:41;23845;19571
